# single words - nimi pu
uFF907	ijo+anu	# ijo anu, scaled
uFF907	ijo*anu	# ijo anu, scaled
uFF908	ijo-apeja	# ijo apeja, scaled
uFF908	ijo+apeja	# ijo apeja, scaled
uFF908	ijo*apeja	# ijo apeja, scaled
uFF909	ijo-awen	# ijo awen, scaled
uFF909	ijo+awen	# ijo awen, scaled
uFF909	ijo*awen	# ijo awen, scaled
uFF90A	ijo-en	# ijo en, scaled
uFF90A	ijo+en	# ijo en, scaled
uFF90A	ijo*en	# ijo en, scaled
uFF90B	ijo-esun	# ijo esun, scaled
uFF90B	ijo+esun	# ijo esun, scaled
uFF90B	ijo*esun	# ijo esun, scaled
uFF90C	ijo-ike	# ijo ike, scaled
uFF90C	ijo+ike	# ijo ike, scaled
uFF90C	ijo*ike	# ijo ike, scaled
uFF90D	ijo-ilo	# ijo ilo, scaled
uFF90D	ijo+ilo	# ijo ilo, scaled
uFF90D	ijo*ilo	# ijo ilo, scaled
uFF90E	ijo-insa	# ijo insa, scaled
uFF90E	ijo+insa	# ijo insa, scaled
uFF90E	ijo*insa	# ijo insa, scaled
uFF90F	ijo-jaki	# ijo jaki, scaled
uFF90F	ijo+jaki	# ijo jaki, scaled
uFF90F	ijo*jaki	# ijo jaki, scaled
uFF910	ijo-jan	# ijo jan, scaled
uFF910	ijo+jan	# ijo jan, scaled
uFF910	ijo*jan	# ijo jan, scaled
uFF911	ijo-jelo	# ijo jelo, scaled
uFF911	ijo+jelo	# ijo jelo, scaled
uFF911	ijo*jelo	# ijo jelo, scaled
uFF912	ijo-jo	# ijo jo, scaled
uFF912	ijo+jo	# ijo jo, scaled
uFF912	ijo*jo	# ijo jo, scaled
uFF913	ijo-kala	# ijo kala, default, scaled
uFF913	ijo+kala	# ijo kala, default, scaled
uFF913	ijo*kala	# ijo kala, default, scaled
uFF913	ijo-kala1	# ijo kala, without eyes, scaled
uFF913	ijo+kala1	# ijo kala, without eyes, scaled
uFF913	ijo*kala1	# ijo kala, without eyes, scaled
uFF913	ijo-kala2	# ijo kala, with eyes, scaled
uFF913	ijo+kala2	# ijo kala, with eyes, scaled
uFF913	ijo*kala2	# ijo kala, with eyes, scaled
uFF914	ijo-kalama	# ijo kalama, scaled
uFF914	ijo+kalama	# ijo kalama, scaled
uFF914	ijo*kalama	# ijo kalama, scaled
uFF915	ijo-kama	# ijo kama, scaled
uFF915	ijo+kama	# ijo kama, scaled
uFF915	ijo*kama	# ijo kama, scaled
uFF916	ijo-kasi	# ijo kasi, scaled
uFF916	ijo+kasi	# ijo kasi, scaled
uFF916	ijo*kasi	# ijo kasi, scaled
uFF917	ijo-ken	# ijo ken, scaled
uFF917	ijo+ken	# ijo ken, scaled
uFF917	ijo*ken	# ijo ken, scaled
uFF918	ijo-kepeken	# ijo kepeken, synonym of ijo kepen, scaled
uFF918	ijo+kepeken	# ijo kepeken, synonym of ijo kepen, scaled
uFF918	ijo*kepeken	# ijo kepeken, synonym of ijo kepen, scaled
uFF918	ijo-kepen	# ijo kepen, synonym of ijo kepeken, scaled
uFF918	ijo+kepen	# ijo kepen, synonym of ijo kepeken, scaled
uFF918	ijo*kepen	# ijo kepen, synonym of ijo kepeken, scaled
uFF919	ijo-kijetesantakalu	# ijo kijetesantakalu, scaled
uFF919	ijo+kijetesantakalu	# ijo kijetesantakalu, scaled
uFF919	ijo*kijetesantakalu	# ijo kijetesantakalu, scaled
uFF91A	ijo-kili	# ijo kili, scaled
